timestamp,pair,base,quote,rate,pip_value,name
2025-10-21T15:53:01.415343,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:53:02.697623,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:53:03.925470,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:53:05.153997,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:53:06.367737,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:53:07.545947,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:53:08.737991,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:53:09.968871,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:53:11.201765,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:54:12.413228,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:54:13.655405,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:54:14.870795,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:54:16.023764,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:54:17.246097,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:54:18.447216,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:54:19.610393,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:54:20.825582,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:54:21.992805,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:54:23.185467,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:55:24.423553,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:55:25.617392,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:55:26.880155,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:55:28.195284,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:55:29.395683,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:55:30.597153,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:55:31.793119,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:55:33.009687,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:55:34.232969,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:55:35.399097,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:56:36.584805,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:56:37.770932,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:56:38.970542,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:56:40.115613,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:56:41.275091,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:56:42.458979,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:56:43.778937,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:56:44.944867,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:56:46.133241,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:56:47.296461,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:57:48.703332,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:57:49.881472,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:57:51.097873,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:57:52.294739,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:57:53.501791,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:57:54.693057,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:57:55.882793,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:57:57.074681,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:57:58.316864,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:57:59.561633,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:59:00.775051,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:59:01.981132,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:59:03.190668,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
